Postcode,Offence,Year,State,LGA,violence_count,Person_Population_Number_Total,Population_Density
2803,Liquor offences,2008,New South Wales,Cowra,0,NA,NA
2804,Liquor offences,2008,New South Wales,Cowra,40,NA,NA
2805,Liquor offences,2008,New South Wales,Cowra,7,NA,NA
2807,Liquor offences,2008,New South Wales,Cowra,2,NA,NA
2808,Liquor offences,2008,New South Wales,Cowra,4,NA,NA
2809,Liquor offences,2008,New South Wales,Cowra,0,NA,NA
2810,Liquor offences,2008,New South Wales,Cowra,78,NA,NA
2871,Liquor offences,2008,New South Wales,Cowra,215,NA,NA
2127,Liquor offences,2008,New South Wales,Cumberland,893,NA,NA
2128,Liquor offences,2008,New South Wales,Cumberland,9,NA,NA
2135,Liquor offences,2008,New South Wales,Cumberland,300,NA,NA
2140,Liquor offences,2008,New South Wales,Cumberland,69,NA,NA
2141,Liquor offences,2008,New South Wales,Cumberland,306,NA,NA
2142,Liquor offences,2008,New South Wales,Cumberland,761,NA,NA
2143,Liquor offences,2008,New South Wales,Cumberland,13,NA,NA
2144,Liquor offences,2008,New South Wales,Cumberland,118,NA,NA
2145,Liquor offences,2008,New South Wales,Cumberland,247,NA,NA
2146,Liquor offences,2008,New South Wales,Cumberland,100,NA,NA
2148,Liquor offences,2008,New South Wales,Cumberland,1408,NA,NA
2150,Liquor offences,2008,New South Wales,Cumberland,1790,NA,NA
2160,Liquor offences,2008,New South Wales,Cumberland,133,NA,NA
2161,Liquor offences,2008,New South Wales,Cumberland,199,NA,NA
2162,Liquor offences,2008,New South Wales,Cumberland,79,NA,NA
